"PRIVACY_LINK_URL","http://www.trustedshops.de/datenschutz.html"
"PRIVACY_LINK_HINT","Trustedshops Privacy"
"PRIVACY_LINK_LABEL","Details"
"RATE_NOW_URL","https://www.trustedshops.com/bewertung/bewerten_%s.html"
"RATE_LATER_URL","https://www.trustedshops.com/reviews/rateshoplater.php"
"RATE_NOL_HEADER","Danke für Ihren Einkauf bei %1$s. Waren Sie mit Ihrem Einkauf und unserem Service zufrieden? Hier können Sie %1$s bewerten, wir freuen uns auf Ihr Feedback"
"RATE_NOW_LINK_LABEL","Shop jetzt bewerten"
"RATE_LATER_LINK_LABEL","Shop später bewerten"
"RATE_NOL_LEGAL","Ja, ich möchte meinen Einkauf ""später bewerten"" und von Trusted Shops nach %s Tagen einmalig per E-Mail an die Abgabe eine Bewertung erinnert werden (%s)."
"TB_CODE_SNIPPET_LINK_TEXT","Um Ihren Trustbadge-Code zu generieren, folgen Sie bitte diesem %s."
"TB_CODE_SNIPPET_LINK_LABEL","Link"
"REGISTRATION_LINK_URL","http://www.trustedshops.de/shopbetreiber/index.html"
"REGISTRATION_LINK_LABEL","Jetzt beantragen!"
"images/trustedrating/seal_rating_en.jpg","images/trustedrating/seal_rating_de.png"
